[DEBUG] 2019-11-19 12:24:31.648 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-11-19 12:24:31.657 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-11-19 12:24:31.663 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-11-19 12:24:31.764 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-11-19 12:24:31.770 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-11-19 12:24:32.095 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-11-19 12:24:32.101 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-11-19 12:24:32.107 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-11-19 12:24:32.503 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-11-19 12:24:32.521 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-11-19 12:24:32.522 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-11-19 12:24:32.554 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-11-19 12:24:32.594 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-19 12:24:32.594 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-19 12:24:32.594 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-19 12:24:32.594 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@34f392be
[DEBUG] 2019-11-19 12:24:32.599 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@27e5b378
[DEBUG] 2019-11-19 12:24:32.599 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@58496c97
[DEBUG] 2019-11-19 12:24:32.601 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-19 12:24:32.602 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-19 12:24:32.602 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-19 12:24:32.602 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@74294c1a
[DEBUG] 2019-11-19 12:24:32.604 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@74294c1a
[DEBUG] 2019-11-19 12:24:32.604 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@74294c1a
[DEBUG] 2019-11-19 12:24:32.606 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@e8ea697
[DEBUG] 2019-11-19 12:24:32.606 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@e8ea697
[DEBUG] 2019-11-19 12:24:32.606 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@e8ea697
[DEBUG] 2019-11-19 12:24:32.609 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5ff2b8ca
[DEBUG] 2019-11-19 12:24:32.609 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5ff2b8ca
[DEBUG] 2019-11-19 12:24:32.609 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5ff2b8ca
[DEBUG] 2019-11-19 12:24:32.610 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5fe7f967
[DEBUG] 2019-11-19 12:24:32.610 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5fe7f967
[DEBUG] 2019-11-19 12:24:32.611 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5fe7f967
[DEBUG] 2019-11-19 12:24:32.612 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5e8cda75
[DEBUG] 2019-11-19 12:24:32.612 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5e8cda75
[DEBUG] 2019-11-19 12:24:32.612 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5e8cda75
[DEBUG] 2019-11-19 12:24:32.613 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@222afc67
[DEBUG] 2019-11-19 12:24:32.614 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@222afc67
[DEBUG] 2019-11-19 12:24:32.614 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@222afc67
[DEBUG] 2019-11-19 12:24:32.614 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3ae9d1e2
