[DEBUG] 2019-11-19 18:27:54.079 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-11-19 18:27:54.102 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-11-19 18:27:54.142 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-11-19 18:27:55.024 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-11-19 18:27:55.040 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-11-19 18:27:56.569 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-11-19 18:27:56.571 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-11-19 18:27:56.589 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-11-19 18:27:57.693 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-11-19 18:27:57.745 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-11-19 18:27:57.773 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-11-19 18:27:57.874 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-11-19 18:27:57.993 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-19 18:27:57.996 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-19 18:27:57.996 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@58cf8f94
[DEBUG] 2019-11-19 18:27:57.997 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@34f392be
[DEBUG] 2019-11-19 18:27:58.003 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@27e5b378
[DEBUG] 2019-11-19 18:27:58.006 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@58496c97
[DEBUG] 2019-11-19 18:27:58.007 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-19 18:27:58.008 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-19 18:27:58.008 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@48eb9836
[DEBUG] 2019-11-19 18:27:58.009 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@74294c1a
[DEBUG] 2019-11-19 18:27:58.012 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@74294c1a
[DEBUG] 2019-11-19 18:27:58.012 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@74294c1a
[DEBUG] 2019-11-19 18:27:58.015 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@e8ea697
[DEBUG] 2019-11-19 18:27:58.015 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@e8ea697
[DEBUG] 2019-11-19 18:27:58.015 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@e8ea697
[DEBUG] 2019-11-19 18:27:58.017 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5ff2b8ca
[DEBUG] 2019-11-19 18:27:58.017 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5ff2b8ca
[DEBUG] 2019-11-19 18:27:58.017 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5ff2b8ca
[DEBUG] 2019-11-19 18:27:58.023 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5fe7f967
[DEBUG] 2019-11-19 18:27:58.023 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5fe7f967
[DEBUG] 2019-11-19 18:27:58.023 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5fe7f967
[DEBUG] 2019-11-19 18:27:58.024 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5e8cda75
[DEBUG] 2019-11-19 18:27:58.024 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5e8cda75
[DEBUG] 2019-11-19 18:27:58.024 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5e8cda75
[DEBUG] 2019-11-19 18:27:58.025 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@222afc67
[DEBUG] 2019-11-19 18:27:58.025 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@222afc67
[DEBUG] 2019-11-19 18:27:58.025 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@222afc67
[DEBUG] 2019-11-19 18:27:58.026 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3ae9d1e2
[DEBUG] 2019-11-19 18:27:58.026 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3ae9d1e2
[DEBUG] 2019-11-19 18:27:58.027 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2e060819
[DEBUG] 2019-11-19 18:27:58.027 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2e060819
[DEBUG] 2019-11-19 18:27:58.030 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@216914
[DEBUG] 2019-11-19 18:27:58.030 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@216914
[DEBUG] 2019-11-19 18:27:58.031 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5d5160e6
[DEBUG] 2019-11-19 18:27:58.032 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@37af1f93
[DEBUG] 2019-11-19 18:27:58.034 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@602ae7b6
[DEBUG] 2019-11-19 18:27:58.034 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@602ae7b6
[DEBUG] 2019-11-19 18:27:58.035 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2c8662ac
[DEBUG] 2019-11-19 18:27:58.036 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2c8662ac
[DEBUG] 2019-11-19 18:27:58.045 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4d8286c4
[DEBUG] 2019-11-19 18:27:58.047 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4d8286c4
[DEBUG] 2019-11-19 18:27:58.052 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7a7cc52c
[DEBUG] 2019-11-19 18:27:58.052 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7a7cc52c
[DEBUG] 2019-11-19 18:27:58.055 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@53a9fcfd
[DEBUG] 2019-11-19 18:27:58.055 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@53a9fcfd
[DEBUG] 2019-11-19 18:27:58.159 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2dfe5525
[DEBUG] 2019-11-19 18:27:58.159 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2dfe5525
[DEBUG] 2019-11-19 18:27:58.172 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6d303498
